Date of Sighting,Latitude of Sighting,Longitude of Sighting,Nearest Approximate City,US State,Notes about the sighting,Time of Day,Tag of Apparition,Image Link
2024-12-13,29.420517,-98.571016,San Antonio,Texas,Electronic devices malfunctioned during sighting.,Morning,Headless Spirit,
2025-07-25,30.192881,-89.90185,New Orleans,Louisiana,Apparition seen floating near old church grounds.,Afternoon,Poltergeist,
2021-10-19,29.627906,-95.431614,Houston,Texas,Local dog barking frantically before sighting.,Night,Poltergeist,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_2.png
2021-03-19,44.985306,-93.292082,Minneapolis,Minnesota,Phantom footsteps heard in empty hallway.,Dawn,Orbs,
2025-02-27,38.660078,-90.008209,St. Louis,Missouri,Apparition seen floating near old church grounds.,Night,Shadow Figure,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_2.png
2021-08-22,38.367111,-90.453205,St. Louis,Missouri,Witness captured blurry image on phone.,Midnight,Shadow Figure,
2022-03-17,39.871272,-104.897556,Denver,Colorado,Apparition matched description of local legend.,Evening,White Lady,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_1.png
2024-02-10,39.830527,-86.134163,Indianapolis,Indiana,Apparition seen floating near old church grounds.,Afternoon,Phantom Sounds,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_2.png
2024-10-26,40.3666,-89.459016,Peoria,Illinois,Flickering streetlamp coincided with sighting.,Evening,Poltergeist,
2022-04-26,30.62725,-97.918376,Austin,Texas,Temperature dropped suddenly by 10°F.,Afternoon,White Lady,
2022-02-22,29.881634,-90.052124,New Orleans,Louisiana,Electronic devices malfunctioned during sighting.,Midnight,Poltergeist,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_0.png
2023-12-18,30.270221,-97.716685,Austin,Texas,Figure disappeared upon approach.,Evening,Shadow Figure,
2022-01-21,39.935959,-86.37238,Indianapolis,Indiana,Witness captured blurry image on phone.,Night,Headless Spirit,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_0.png
2022-09-17,37.877599,-97.04064,Wichita,Kansas,Disembodied voice whispered a name.,Dawn,White Lady,
